,index,tweet_id,tweet_content
36,100003,1253837309880995844,"@USAF_Eternally @TTStraw2 @michellmybell1 @th1rt3en_TM @geraldpayne25 @nico_manocchio @HazyPeter @lindaz333 @tklforgiven @imkimaaron @chrismardell @tsmith_m @HaircutSpock @Friendof_Darwin @Scepticdust @RJDownard @Crazyparklady1 @robster16a @JaTapps @david_gooder @Janetb172 @commonsensejan @SmokeyStafford @NaturalBAtheist @Canna420Uk @donholtmac @surgerysleeper @Megavolt1 @MPloughboy @MatildaMoonsto1 @PaulDubuisson @JerryHelton14 @badgervindaloo @Cant_Read_Maps @2Cents69 @carlsmythe @NoahPaulLeGies @malo_j @LeannEAF @orna_verum @PeterFi98279139 @TertiusIV @WmManry @TakeThatEpi @NotDenbar64 @MBashwood @TConabike @KitemanArgues @VincentPoupart3 @OfRewol I don't need to as you have not supported your claim, which as changed.  It started as Covid-19 has all the characteristics of a seasonal virus to Covid-19 is just like the flu.

But if you need to know how they are different, the flu is not a corona virus."
38,100003,1253702772471578624,"I know y’all waiting for a “safe” time to go outside but honestly Covid-19 is just like the flu, it has to run it’s course, majority if not all of us will or have gotten it already"
41,100003,1253409965194113025,"@Chrisp1776 @washingtonpost “The flu is a much bigger threat than coronavirus, for now.” This was written before the US had any confirmed cases. And there is a difference between stating that the flu is a bigger threat and claiming Covid-19 is just like the flu (despite having a mortality rate 30x the flu)."
43,100003,1253361821244895234,"@kaykumaroct @TylerW17799573 @davequigon @JoeySalads Dude your calling me stupid cause I said covid 19 is just like the flu. You probably never experienced it but I did? You take sources from fuckin YouTube, I don’t wanna hear it. https://t.co/Doz2JHuMFb"
44,100003,1253183292947550208,"#IsAMassiveUnderstatement 
covid 19 is just like the flu https://t.co/AkgyNHXfab"
45,100003,1253157289587929089,Saying covid-19 is just like the flu #IsAMassiveUnderstatement
47,100003,1252847501251538944,"Next time someone tries to tell you COVID-19 is just like the flu, remind them of these numbers https://t.co/p2G67suZMY"
48,100003,1252696391769640962,"If you think Covid-19 is just like the flu...
""The virus has killed 100 Italian doctors. That doesn’t happen during a bad flu season. The virus has killed 30 employees of the New York City Police Department. That doesn’t happen during a bad flu season"". https://t.co/Z5D0jta0Ue"
49,100003,1252683209390739456,"ONS weekly deaths in London, UK, updated for wk 15; the trend continues unabated. A visual aid for those who continue to claim that COVID-19 is ""just like the flu"". https://t.co/hg1GD7L0X5. As seen on @MedCrisis https://t.co/8gjG9uO7Y0 (03:09). #COVID19  #COVID #Tableau #dataviz https://t.co/IEogseJWwj"
50,100003,1252636346134355968,"just had an encounter with the most ignorant customer smh💀 this woman comes up and says we shouldn't be wearing masks, ""it's bad for your lungs."" ??? she continues saying covid-19 is just like the flu and the deaths didn't have anything to do with corona + https://t.co/nvupXvMHxI"
53,100003,1252607413846491136,"'We Are Not A Communist Nation': Rally Organizer Denies COVID Facts, Demands Death |
&amp; Argued on Monday that COVID-19 is “just like the flu” — even though scientists believe that it is ten times more deadly.⤵️ https://t.co/NqgtxN4XeX"
54,100003,1252555497946972160,"Read this thread if you think COVID-19 is ""just like the flu"" and appreciate actual science https://t.co/Oeb9wo06YP"
55,100003,1252428594413842437,@TamerELG Can't wait for Fox News to praise this decision and then in the next segment talk bout how America needs to end the shut down because COVID-19 is just like the flu
56,100003,1252408181260603395,"I see #MAGA and #KAGA marching in the streets, screaming to open up the country.

They are arguing the flu kills 60,000 a year and COVID-19 is just like the flu...

The problem with this argument is that COVID-19 has killed 42,000 in a MONTH."
57,100003,1252348097629286400,"@SpeakerPelosi @HouseDemocrats @ThisWeekABC Trump needs to get out and about to provide testing.  After all, Covid 19 is just like the flu according to him."
59,100003,1252262216184680448,"@leesgirl9 @MelissaJPeltier @erickbellomy If Covid-19 is just like the flu, why are they all wearing masks?"
60,100003,1252230982775652354,"@ZiadSatNam @biden_says @ronnieg1002 @OfficialJLD Ditto for Twitter. So happy for the Mute button.🙂 Fascinating how Trolls and Bots can be denying Climate Change, then opposed to Vote by Mail, then claiming COVID-19 is just like the flu. So draining………"
61,100003,1252205124350545923,"But COVID-19 is just like the flu, right? https://t.co/uIQbFi69ph"
62,100003,1252068558676393984,"Go ahead, tell me COVId-19 is just like the flu. https://t.co/8kVPjsekvB"
63,100003,1252044512874070016,"Maybe those who think COVID-19 is ""just like the flu"" should note that CDC says 24k to 60k people already died of the flu this season... and now 38k MORE to COVID-19."
65,100003,1252014222851989505,And now Brazil’s leader says COVID-19 is just like the flu 😡😡😡 the world is largely being run by egotistical narcissistic mad men😱😱😱
66,100003,1251988266838081537,@_KJKelly @THEshabbs I'm not at all suggesting that Covid-19 is just like the flu. It is clearly worse both in terms of transmission rates (R0) and mortality rates. But these charts are trying to show how it's an order of magnitude worse. Even with seasonal flu vaccine widely administered.
67,100003,1251922661237800965,How about it @realDonaldTrump @IngrahamAngle @seanhannity why don’t you lead the protests in person? Without masks since you think Covid-19 is just like the flu? https://t.co/iiNSBPyGYW
71,100003,1251671901983760385,"A visual aid for those who think that COVID-19 is ""just like the flu"".  https://t.co/zGEdipicsJ. As seen on @MedCrisis https://t.co/8gjG9uO7Y0 (03:09). #COVID19  #COVID #Tableau #dataviz https://t.co/ni5psWmoAn"
72,100003,1251668952993927170,"Whoever says COVID-19 is just like the flu obviously doesn't know math.

We've almost lost 40000 people and there's still about 600000 who are still sick where we don't know how many of them will recover.

All of it is @realDonaldTrump's fault for ignoring this."
74,100003,1251532038194282496,"@BCJ166 @justinamash Right. But individual responsibility requires individual responsibility. These idiots are advocating football games, going to the beach, and movie theaters. They believe COVID-19 is ""just like the flu"" and refuse to take responsibility for their thinking or actions."
76,100003,1251470505267396608,#CoronavirusUSA deaths in a week compared with deaths from other causes. Next time someone says #Covid_19 is just like the flu show them this. https://t.co/QyZwayKRQZ
77,100003,1251245017395613696,"@StokedTweeter Spot on. Covid - 19 is just like the flu. Fu*k it. Acceptable losses. Yay, Pres. Trump. The protestors in Michigan with Confederate, Nazi and Trump flags rock!"
78,100003,1251187362035425281,"@realDonaldTrump For all the simpletons who believe COVID-19 is just like the flu or we don't stop living because of traffic accidents, etc, please explain using this graph how you plan to reopen the country
https://t.co/c2HCmFVex8
Note: This is with all the social distancing measures in place"
79,100003,1251085257539031040,"Damn. Scientific information being conveyed by leadership.  And policy based on it

We get ""covid 19 is just like the flu' and the testing effort is 'the best in the world' amd its 'a big beautiful test' ...

Im jealous as hell. https://t.co/krz1w3Yqs6"
80,100003,1251040711023214592,Take a lesson from this when you’re upset about your freedom and you think COVID-19 is “just like the flu” https://t.co/lkx5iraYaP
81,100003,1250949774791958528,"For those saying COVID-19 is “just like the flu..."" https://t.co/A3CwngN288"
82,100003,1250936554002034691,"In case there is anyone out there still saying #Covid_19 is ""just like the flu"" etc. and/or is failing to understand why stay at home orders are still necessary for the time being.

Please check out this article and the attached graph:
https://t.co/r1AzOIqrKq
#Coronavirus"
83,100003,1250923196116803586,"Oh my fucking.. to read it is one thing but the way he said it...

Reminder this is the “doctor” y’all were screaming in support of because COVID-19 is “just like the flu” https://t.co/7pPi9Y7k7r"
86,100003,1250869141562482688,"Critics of social distancing and restrictions who say COVID-19 ""is *just* like the flu"" to minimize the seriosuness of our current public health crisis don't understand virology *or* history. People who understand 1918 don't minimize the devastation caused by the flu. https://t.co/1TrEfe7HLN"
87,100003,1250848833069875209,"Yeah, Covid-19 is just like the flu. https://t.co/SfqjwPUfI0"
88,100003,1250729706690936833,"@Navigatorsofth1 @CarolineMack18 People are talking about the trade offs. Perhaps you have decided that COVID-19 is ""just like the flu"" however that clearly isn't the case.

Anyway I'm ending this conversation because your contribution was somewhat hysterial. Muted."
89,100003,1250630053345529863,"Thanks, Russell, excellent commentary about the start of the income protection market as always.

To say it's challenging is to say covid-19 is just like the flu, in many cases, it is nigh on impossible despite the assurances products are still open.  

https://t.co/5VZK0wmkcg"
90,100003,1250542140310073350,Share this with your crazy Unlce Liberty when he says COVID-19 is just like the flu. https://t.co/Y1JpvoDBm0
92,100003,1250384452448108544,@MozScott @JLPerchard @WHO There are also those in the US who said COVID-19 is just like the flu. The @WHO isn't perfect (which international body is?) but as US cases rocket past the rest of the world Trump is clearly looking for scapegoats to shore up his bid for a second term.
93,100003,1250346513374429185,When people say COVID-19 is just like the flu and not that bad..... https://t.co/URoa8SR223
96,100003,1250065376437731331,"@goldencaskcap Covid-19 is just like the flu
With mortality rate at point two
Sure it moves fast
But I doubt it’d last
Let me win by sacrificing you"
97,100003,1249961723282501635,@VK_Cast @Victor__Newman @MarthaW19860146 @parkbench559 @atlpt1870 @Howlinghamster @Khalid_Hart @maggieNYT And Covid-19 is just like the flu. Trump said so.
98,100003,1249804284155191296,@bonick0 @JoeySalads Are you implying COVID-19 is just like the flu?
99,100003,1249790552486359040,A visual for the people in your life who want to believe that COVID-19 is just like the flu re: fatalities. https://t.co/CV2wDx4u4m
102,100003,1249139542688444416,Think #COVID__19 is just like the flu?   Watch this.  #stayhome  #Heroes  https://t.co/ZZFj9NwQa1
103,100003,1249083025935106048,"Why we shouldn't #OPENAMERICANOW
To those that think that #COVID__19 is just like the flu
#quaranTURN #trumpcovidfails 

https://t.co/U6M9YhMC0K https://t.co/eHcHYbgLP2"
104,100003,1249017186661715968,"I can't control myself from commenting when I see posts that say COVID-19 is just like the flu. I know no good will come of it. But, nevertheless, she persisted. IT IS NOT THE F*CKING FLU."
105,100003,1248851277062082561,"@kjkwinger6 @emhlung @kmattox1 For anyone who still thinks COVID-19 is “just like the flu”, let this sink in"
106,100003,1248762939261116421,"The more conservative news you watch, the more likely you are to be misinformed about basic information when it comes to coronavirus, this poll found...

""Nearly 3-In-5 Right-Wing News Viewers Still Believe COVID-19 Is Just Like The Flu""
https://t.co/8IPfbilSWY"
107,100003,1248750016216236032,So Covid-19 is just like the flu proven true to life in CA in NOVEMBER? https://t.co/I186QK53Md
109,100003,1248696085310251008,"Hey, Bill Spadea! 
Do you still think COVID-19 is just like the flu? 
Open your eyes.  Do you see the mass graves?
This is NOTHING like the flu!  

Workers in hazmat suits continue to dig mass graves on Hart Island https://t.co/IGgo3cTFvT via @MailOnline 

@billspadia @nj1015"
110,100003,1248691292286189568,"@ChicoTheDoggers @someknew @DJx1555 @morningmika There are two quotes in this 30 second video from February 25, including an asinine statement that COVID-19 is just like the flu. The video could easily be extended with similar and even worse quotes through the middle of March.

And actions speak louder than words."
111,100003,1248637084010774529,Nearly 3-In-5 Right-Wing News Viewers Still Believe COVID-19 Is Just Like The Flu https://t.co/SPwgRwoDaV с помощью @periclesukraine
112,100003,1248625448830918657,All the people using #EndTheShutdown because Covid-19 is “just like the flu” yea but this it’s more violet and deadly And people with this mindset are gonna be the reason for the death of our species. The lockdown is killing me too but we gotta hold on and persevere out of this.
113,100003,1248621932104151042,@JohnnyBarone1 @MayorBeer I'm no health expert. But I haven't heard any who are who say COVID-19 is just like the flu.
114,100003,1248619385821913093,Nearly 3-In-5 Right-Wing News Viewers Still Believe COVID-19 Is Just Like The Flu https://t.co/M7LBoOXYPG https://t.co/tnRtIrJfXw
115,100003,1248606541793488896,Nearly 3-In-5 Right-Wing News Viewers Still Believe COVID-19 Is Just Like The Flu https://t.co/FaxWBEfXs8
116,100003,1248606193335119877,"The more conservative news you watch, the more likely you are to be misinformed about basic information when it comes to coronavirus, this poll found...

""Nearly 3-In-5 Right-Wing News Viewers Still Believe COVID-19 Is Just Like The Flu""
https://t.co/whANecipVd"
117,100003,1248605782813392896,"Nearly 3-In-5 Right-Wing News Viewers Still Believe COVID-19 Is Just Like The Flu
https://t.co/8IPfbi4i5q"
118,100003,1248548862022819842,"@JohnFiliss @OffGuardian0 @Sideshow_JaneV3 @MoonofA Still claiming Covid-19 is just like the flu? Facts are such a pain aren't they.
https://t.co/v4EBUkqknZ"
119,100003,1248486112751841281,"@EternalRound @mwash52 @BingaZingaZinga @NightlyPolitics I didn't block you (yet). I guess twitter glitched. And I'm still waiting for your explanation how covid-19 is ""just like the flu"" considering the fact that the relative death toll is 10 to 20 times higher."
120,100003,1248459861475487744,"Wow.. hope no one says stuff like ""COVID-19 is just like the flu"" any more https://t.co/Niwdwr3a0v"
123,100003,1248211543889715202,Do you still think COVID-19 is just like the flu? | Coronavirus Newsletter https://t.co/FNT90rTFRX
124,100003,1248202069737177088,"The failure in the White House to contain this deadly Virus started with President Trump and his loyal Republicans,  Trump at one time said that COVID-19 is just like the flu &amp; has no much effect to Americans. liar, just carry your ignorance n leadership incompetence #WhiteHouse"
125,100003,1248087887473602560,"5G conspiracy theorists, along with anti-vaxxers and ""Covid-19 is just like the flu"" morons can just all get in the sea.  Yeah I support your right to free speech, but right back at you. You are scientifically illiterate, but not irredeemable. Like flat earthers."
126,100003,1248076311928516608,#cvfreeCoronavirus Do you still think COVID-19 is just like the flu? | Coronavirus Newsletter - The Philadelphia Inquirer https://t.co/CkM6XDoV5o https://t.co/969uP6CXTx
127,100003,1248023340192804875,Daily News |  Do you still think COVID-19 is just like the flu? | Coronavirus Newsletter https://t.co/S8VUVcueCr
128,100003,1248022785777115137,For all of those who say Covid 19 is just like the Flu—Have you ever heard of the Flu killing 2 or more people in one family within weeks of being infected? No. You haven’t. This is NOT the Flu. #COVID19
130,100003,1247935266796568578,"In case you were still wondering whether COVID-19 is just like the flu, check this out: 
FLU: 79 deaths between 9/1/2019 and 3/28/2019(209 days)  (https://t.co/PruqwHj3U9)
COVID-19:  79 deaths between 3/1 and 4/8 (21 days)
(https://t.co/H2Vsu1nLM9)

THIS IS NOT JUST LIKE THE FLU"
131,100003,1247883203827859456,To all those people who said “COVID-19 is just like the flu”...🙄🤬. https://t.co/Vy4uGrJY8t
132,100003,1247863014080028673,"@ThatMartyGuy1 @rhonda_harbison @joshgerstein Whoever is selling these or whoever had stocks in the companies that are selling these stands to make money. That's my point. 

Also, why the mask? Covid-19 is just like the flu. No reason for a mask and worry. You'll get better just by sitting around if you get sick."
133,100003,1247760767853588481,If you are one of those people who believe that COVID-19 is “just like the flu” then this video is for you. Please watch.  https://t.co/PaQsMer3ug
134,100003,1247697008888078337,"@STrimel @WHO Trump has repeatedly claimed he knew the pandemic was going to be serious before anyone...and he has also claimed he was never told...and he has claimed COVID-19 is just like the flu....and that it is not at all like the flu....
All he is doing now is deflecting responsibility."
135,100003,1247652351810375685,Trump just said that when he said COVID-19 “is just like the flu” he was right because the SPANISH flu was so bad so he was right in his comparison. Really? How many times has he compared COVID-19 infection/death rates to last year’s flu nbrs? Did we have Spanish Flu last year?
136,100003,1247651901119791104,@litgenstein COVID-19 is just like the flu
137,100003,1247591558809075712,"@SnidePrince @ScottAdamsSays I would suggest this article to review the assumptions that COVID-19 is just like the flu.

https://t.co/q77THPLOqa"
138,100003,1247448470283313154,"For asking that question, @Juliajoy, you will be told that you are saying Covid-19 is 'just like the flu'. It will be a lie. But it is the lie invariably told about anyone who asks about govt response to previous high fatalities from flu complications. Why do govt supporters lie? https://t.co/2f4huMSzIY"
140,100003,1247371241792643079,If you still think Covid-19 is just like the flu then watch this! It’s NOT! It’s horrendous and it spreads SO EASILY! #StayAtHome #savelivesstayhome #COVID19 #StopTheSpread #StayHealthyEveryone https://t.co/wZH37lKaNF
141,100003,1247283863342088196,For those who think COVID 19 is just like the flu! https://t.co/B2HrC58j6l
143,100003,1247062916739678208,"@twytnotist @nz_voter All I can think of with its more recent issues is a cover story getting us to fear something else. Sugar can kill you. Coffee can kill you. Stress can kill you. Your digestion can kill you. But interestingly, COVID-19 is just like the ’flu."
146,100003,1246260336619069447,"@James997733 Some people just want a psoriasis free corpse at their funeral. I don't see the problem. Just like COVID-19 is just like the flu, no big deal, right?"
147,100003,1246183767699591169,"Trisha Paytas needs to be banned on all platforms. I'm done. She's lied about being trans, having DID, and now told people that COVID-19 is just like the flu and to leave your house. At first I thought maybe she was really trans, but no. She lied."
149,100003,1245957699101171712,"1/2
Seems there are people about who think Covid 19 is just like the Flu.

1) It is far more transmissible.

2) It requires a much lesser viral load in order to infect people.

3) The incidence of becoming seriously ill and requiring hospital treatment is astronomically greater."
151,100003,1245921701721849858,"If you think Covid-19 is ""just like the flu,"" maybe spend the 6 minutes to watch this?. https://t.co/caRlNOYiNH via @YouTube"
156,100003,1245736953108213762,"@bencar123 @coasttocoastam GN's been spreading dangerous trumpian lies the ""covid-19 is just like the flu!""- I hope he gets investigated for manslaughter for all these ppl dying"
157,100003,1245736518192435203,"@coasttocoastam GN's been spreading dangerous trumpian lies the ""covid-19 is just like the flu!""- I hope he gets investigated for manslaughter for all these ppl dying"
158,100003,1245736180718673920,"@BajatosPoppa @mmfa he's been spreading dangerous trumpian lies the ""covid-19 is just like the flu!""- I hope he gets investigated for manslaughter for all these ppl dying"
159,100003,1245736128734527488,"@_Fuck_China @DavidTheBastar1 @PrisonPlanet he's been spreading dangerous trumpian lies the ""covid-19 is just like the flu!""- I hope he gets investigated for manslaughter for all these ppl dying"
160,100003,1245736072799191041,"@Eksopolitiikka he's been spreading dangerous trumpian lies the ""covid-19 is just like the flu!""- I hope he gets investigated for manslaughter for all these ppl dying"
161,100003,1245736018722148360,"@JasonPo73300292 @coasttocoastam he's been spreading dangerous trumpian lies the ""covid-19 is just like the flu!""- I hope he gets investigated for manslaughter for all these ppl dying"
162,100003,1245735947750330369,"@RetiredSkeptic he's been spreading dangerous trumpian lies the ""covid-19 is just like the flu!""- I hope he gets investigated for manslaughter for all these ppl dying"
163,100003,1245646355520839683,"my self-isolation hobby is blocking:

TERFs
transphobes
anti LGBT bullshit
content thieves
people who use the term ""reverse racism""
white feminists who support Biden
anyone who says covid-19 is ""just like the flu"""
166,100003,1245512289278668800,"@Barbara88415829 If COVID-19 is just like the flu and only 30K die, then why bother taking a drug that is not FDA approved. I am not elderly. My risk level is very low since I shelter in place. Prefer that you take a maximum dose and report back."
168,100003,1245382652812824578,@_iIshraq_ @ActivistaNG @ActionAidNG @Okwuosamj Thank you.                                       Myth 3: COVID-19 is just like the flu......is this true?
169,100003,1245382027005906945,"@ActivistaNG @ActionAidNG @Okwuosamj Myth 3.
COVID-19 is just like the flu....is this true?"
170,100003,1245353737025138693,"@ToddP10 @Jennswhimsy @BedoyaBenardo @Dallasdaddy63 @WillemsAngie @MarieJo45528473 @Yamiche My dad supports Trump, &amp; he's a racist &amp; not very intelligent, but he was still a good dad to me &amp; I wish he could see how bad Trump is. I don't know how to explain that Trump relies on an ever-running BS machine. My dad's 65 and still working bc COVID-19 is ""just like the flu."""
172,100003,1245140798456422401,"@MattyIce981 @IslesJetsMets @utcobb @SandyGoMan @BillyTwoBagger @BarrettSallee It’s used in emergency situations, and in combination with other drugs. The FDA commissioner and CDC have both said it’s still in trials, but may work. My point is that saying COVID-19 is just like the flu and we have drugs already is reckless at best."
175,100003,1245080525091504129,James O'Keefe Telling Us That COVID-19 Is Just Like The Flu To Own The Libs https://t.co/QCGCOl7yLm
176,100003,1245080259311132672,James O'Keefe Telling Us That COVID-19 Is Just Like The Flu To Own The Libs https://t.co/rOsBpn1Jpu
177,100003,1245006106721689600,"@BoganIrish @LexJim1 @briantylercohen @brithume @yashar 1. I'm disputing the statement that COVID-19 is just like the flu we get every year. How on earth could he know that.
2. All the evidence points that his statement couldn't be further from the truth.
3. Duh."
178,100003,1244999762669187072,"Since I'm only five in dog years, the covid-19 is just like the flu for me at worst, right? https://t.co/DKXptnrTFR"
179,100003,1244872708774453248,"@misosusanowa And because he keeps saying things like that, there are still a lot of people that think that COVID-19 _is_ just like the flu. They are unable or unwilling to think about the numbers."
180,100003,1244758091096158208,"@Redeyebronson @SebGorka @realDonaldTrump He made the correct call banning travel from China at the end of January. Whereupon you people attacked him because ""COVID-19 is just like the flu"".
He called it right on chloroquine, which has been approved in France and by the FDA.
Even the Democrats agree his North American"
181,100003,1244467908236972033,I hate when people say Covid 19 is just like the flu... it’s not. It’s a bit worse.
185,100003,1244221591845851136,"To be completely honest: at first, like many, I thought Covid-19 is ""just like the flu""... until I read some background info on the flu and what it did in the early 1900's... these folks are working their butts off trying to save as many lifes as they can. 1/2 https://t.co/i2SpB7tEWw"
186,100003,1244219113666461701,"No, I'm not saying COVID-19 is just like the flu, but this study shows why Italy has been hit so hard."
188,100003,1243753480969478151,@MiamiRadioBeast I hooe that nobody still believes that COVID-19 is “just like the flu”.
189,100003,1243738990575943680,Covid-19 is just like the flu. Not! #COVID2019india https://t.co/mVHt3WNaOr
190,100003,1243705054105755650,"For anyone that says the Covid-19 is just like the flu:

 600 people don’t die from the flu in a single week in New York City."
191,100003,1243680787733544960,"In 50 years antivaxxers will say how COVID-19 is just like the flu, not that bad, better to get it and have natural immunity to it because the complications are SO rare. They'll argue that the death rates went down in 2020 due to better hand washing and not because of social 1/2"
192,100003,1243627724742242308,"Myths about #COVID19

Only older adults are infected
Children cannot catch COVID-19
COVID-19 is just like the flu
Everyone with COVID-19 does
Antibiotics kill coronavirus
Garlic protects against the viruses
The virus will die off when temperatures rise in the spring"
193,100003,1243623703096766468,"Doing so is especially difficult in the face of deliberate misinformation campaigns arguing that climate change is natural, or that COVID-19 is just like the flu. https://t.co/R8QAKYK6wF"
195,100003,1243568936802713602,"For those who think COVID-19 is just like the flu:  Normal avg. deaths/day in New York City (from 2017) was 128.  Yesterday, IDENTIFIED deaths from COVID-19 in NYC reached 85. That is, COVID-19 raised death from ALL causes in NYC (homicide, suicide, heart disease, cancer) by 67%."
196,100003,1243543789018451968,"Uh, for those people who think COVID-19 is “just like the flu,” I don’t think it causes 2000 deaths in 12 weeks!  https://t.co/vhdNKRTNqS via @mercnews"
197,100003,1243384220845608961,"How could HE have a cure? He's wilfully ignorant and still keeps saying that COVID-19 is 'just like the flu."" If any scientist(s) come up with a cure, they won't save it for Trump to announce! https://t.co/0nU1vJwyi4"
198,100003,1243278554487336960,Covid19 https://t.co/2BRnux8j1Q What is covid19? Covid19 is going all around the world right now so 20% of the world is in lockdown. Covid 19 is just like the flu but a bader version. It mainly affects elderly over 70 or 80 and babies. People in...
199,100003,1243182374344691712,"God I swear I hate people sending me nonsense ""expert"" opinions about how COVID 19 is just like the flu. That normally every year so many people with x disease die anyway so what is the big deal. Just fuck off please!"
200,100003,1243139730788749312,"We cannot ask Trump on what scientific model he is basing his idea of opening business again in 17 days, or how he knows COVID-19 is just like the flu, or maybe not even as bad. But these are questions to ask rational people. https://t.co/h5XBMmy6pO"
201,100003,1243104606118240258,"@EadamK @radmadmid @hughhewitt @realDonaldTrump Remember how, in January, Trump cut off travel from China because of COVID-19, and the media and Democrats attacked him because ""COVID-19 is just like the flu""?
You really need to stop watching CNN. It rots your brain."
202,100003,1242991951701356546,"@gunsnrosesgirl3 “COVID-19 is just like the flu.” In a nation run by an anti-science cabal oozing with sycophancy, this statement kicks the door wide open to the kind of thinking leading America to unnecessary suffering."
204,100003,1242958695933169665,"4. COVID-19 is just like the flu
SARS-CoV-2 definitely has flu like symptoms- aches, fever, and cough. both COVID-19 and flu can also lead to pneumonia. However, COVID-19 is more dangerous with  with a mortality rate between 1% and 3%,10-50 times greater than the seasonal flu"
205,100003,1242923237366886400,"@JoyAnnReid General Dentist in my building is full on MAGA. He thinks COVID-19 is just like the flu and basically a hoax.
He is 70 plus year old drilling away and causing aerosol with his drill."
208,100003,1242139277154299911,"@likaluca Yes, scary indeed but a must read for those that thinks covid-19 is just like the flu .. and/or is a joke.  Stay home."
